"Segment","SegmentURL", "Product", "ProductURL"
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE3380,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE3380
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE3431,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE3431
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE3674,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE3674
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE385,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE385
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE3853,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE3853
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE3925,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE3925
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE3972,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE3972
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE3975,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE3975
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE397H,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE397H
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE398,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE398
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE399,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE399
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE3991,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE3991
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE3995,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE3995
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,TSE3996,http://msds.momentive.com/ehswww/showOptions.jsp?Product=TSE3996
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,XC91-A6529,http://msds.momentive.com/ehswww/showOptions.jsp?Product=XC91-A6529
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,XE11-B5612,http://msds.momentive.com/ehswww/showOptions.jsp?Product=XE11-B5612
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,XE12-B2543,http://msds.momentive.com/ehswww/showOptions.jsp?Product=XE12-B2543
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,XE13-B3208,http://msds.momentive.com/ehswww/showOptions.jsp?Product=XE13-B3208
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,XE13-B3949,http://msds.momentive.com/ehswww/showOptions.jsp?Product=XE13-B3949
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,XE13-B5441,http://msds.momentive.com/ehswww/showOptions.jsp?Product=XE13-B5441
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,XE13-B6143,http://msds.momentive.com/ehswww/showOptions.jsp?Product=XE13-B6143
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,XE13-B8897,http://msds.momentive.com/ehswww/showOptions.jsp?Product=XE13-B8897
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,XE14-A6158,http://msds.momentive.com/ehswww/showOptions.jsp?Product=XE14-A6158
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,XE14-A6985,http://msds.momentive.com/ehswww/showOptions.jsp?Product=XE14-A6985
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,XE14-A8491,http://msds.momentive.com/ehswww/showOptions.jsp?Product=XE14-A8491
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,XE14-B2324,http://msds.momentive.com/ehswww/showOptions.jsp?Product=XE14-B2324
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,XE14-B5517,http://msds.momentive.com/ehswww/showOptions.jsp?Product=XE14-B5517
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,XE14-B5767,http://msds.momentive.com/ehswww/showOptions.jsp?Product=XE14-B5767
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,XE14-B6236,http://msds.momentive.com/ehswww/showOptions.jsp?Product=XE14-B6236
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,XE14-B8530,http://msds.momentive.com/ehswww/showOptions.jsp?Product=XE14-B8530
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,XE14-C0447,http://msds.momentive.com/ehswww/showOptions.jsp?Product=XE14-C0447
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,XE14-C1705,http://msds.momentive.com/ehswww/showOptions.jsp?Product=XE14-C1705
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,XE16-508,http://msds.momentive.com/ehswww/showOptions.jsp?Product=XE16-508
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,YE5818,http://msds.momentive.com/ehswww/showOptions.jsp?Product=YE5818
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,YE5822,http://msds.momentive.com/ehswww/showOptions.jsp?Product=YE5822
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,YG6080,http://msds.momentive.com/ehswww/showOptions.jsp?Product=YG6080
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,YG6111,http://msds.momentive.com/ehswww/showOptions.jsp?Product=YG6111
"Board Assembly",/Products/selectorresults.aspx?taxids=1245&sort=Ascending,YG6260,http://msds.momentive.com/ehswww/showOptions.jsp?Product=YG6260
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Fomrez† catalyst SUL-4,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Fomrez%e2%80%a0%c2%a0catalyst+SUL-4
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Fomrez† catalyst UL-22,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Fomrez%e2%80%a0%c2%a0catalyst+UL-22
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Fomrez† catalyst UL-28,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Fomrez%e2%80%a0+catalyst%c2%a0+UL-28
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Fomrez† catalyst UL-54,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Fomrez%e2%80%a0%c2%a0catalyst+UL-54
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* additive AP-01,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*+additive+AP-01
"Insulation",/Products/selectorresults.aspx?taxids=1354&sort=Ascending,Niax* additive AP-03,http://msds.momentive.com/ehswww/showOptions.jsp?Product=Niax*%c2%a0additive+AP-03
